1.030956674367189e-02 1.423284993506968e-03 1.030956674367189e-02 9.779576063156128e-01 
1.995489583350718e-04 1.482847710576607e-05 8.670281767845154e-01 1.327574402093887e-01 
4.761090036481619e-03 2.846029959619045e-02 5.465724389068782e-04 9.662320017814636e-01 
5.934570915997028e-03 1.009437907487154e-02 1.255037728697062e-02 9.714207053184509e-01 
1.035815421346342e-05 9.968863129615784e-01 5.010770109947771e-07 3.102838760241866e-03 
1.683123037219048e-02 3.413232788443565e-02 1.356904162093997e-03 9.476795792579651e-01 
4.292672500014305e-03 3.767551854252815e-02 2.050646767020226e-02 9.375253319740295e-01 
9.867458939552307e-01 9.732099897519220e-06 1.448223883926403e-05 1.322983764111996e-02 
8.718620054423809e-03 2.240571938455105e-02 2.497288631275296e-03 9.663783907890320e-01 
4.318578168749809e-03 5.253820214420557e-03 9.481412358582020e-03 9.809461832046509e-01 
2.666373178362846e-02 3.938191512133926e-04 1.891822554171085e-02 9.540242552757263e-01 
5.607840605080128e-03 2.144642546772957e-02 4.308277741074562e-03 9.686374664306641e-01 
4.143992904573679e-03 6.372655928134918e-02 4.430803819559515e-04 9.316863417625427e-01 
2.359895035624504e-03 2.898691408336163e-02 1.201730314642191e-02 9.566358923912048e-01 
2.082051709294319e-02 2.082051709294319e-02 6.429090630263090e-03 9.519298672676086e-01 
6.818838301114738e-05 3.319112816825509e-03 1.161910034716129e-02 9.849936366081238e-01 
1.573543623089790e-02 1.573543623089790e-02 4.657843615859747e-03 9.638713002204895e-01 
2.135071903467178e-02 7.601396180689335e-03 2.256532199680805e-02 9.484825134277344e-01 
1.986068300902843e-02 9.431939106434584e-04 1.779672876000404e-02 9.613993763923645e-01 
8.206194266676903e-03 2.280065268278122e-01 8.206194266676903e-03 7.555810809135437e-01 
3.139731660485268e-02 3.139731660485268e-02 1.016204990446568e-02 9.270433187484741e-01 
1.857383642345667e-03 5.046877861022949e-01 1.741860294714570e-03 4.917129874229431e-01 
1.526111882412806e-04 8.111538290977478e-01 3.675699554150924e-05 1.886568367481232e-01 
1.375955063849688e-02 2.941526658833027e-02 1.375955063849688e-02 9.430655837059021e-01 
