N   C   INIT_HC   DYN_HC   TOT_HC   INIT_LC   DYN_LC   TOT_LC   INIT_VLC   DYN_VLC   TOT_VLC   INIT_OLD   DYN_OLD   TOT_OLD
2000 1000 1719 7805 9524 1653 7506 9159 1758 28885 30643 2302 36225 38527
2000 666 1375 7715 9090 1262 5132 6394 1354 19196 20550 1736 22630 24366
2000 500 1213 7591 8804 1059 3787 4846 1039 14191 15230 1485 16865 18350
2000 400 1090 7545 8635 941 2963 3904 1037 11377 12414 1355 13641 14996
2000 333 1008 7485 8493 861 2544 3405 954 9437 10391 1252 11266 12518
2000 285 968 7374 8342 758 2124 2882 902 7987 8889 1103 9697 10800
2000 250 930 7452 8382 762 1808 2570 854 7142 7996 1153 8430 9583
2000 222 900 7368 8268 729 1576 2305 820 6267 7087 1109 7459 8568
2000 200 876 7319 8195 711 1419 2130 811 5677 6488 1073 6698 7771
2000 166 855 7229 8084 663 1217 1880 774 4657 5431 1041 5358 6399
2000 142 810 7290 8100 636 1091 1727 725 4070 4795 1021 4674 5695
2000 125 795 7186 7981 614 1001 1615 712 3557 4269 1019 3896 4915
2000 111 780 7172 7952 597 918 1515 687 3177 3864 1018 3336 4354
2000 100 768 7119 7887 587 830 1417 714 2872 3586 955 2925 3880
2000 83 750 8615 9365 565 1068 1633 654 2936 3590 933 2819 3752
2000 71 736 6945 7681 581 671 1252 639 2057 2696 919 1786 2705
2000 58 722 9126 9848 535 793 1328 623 2270 2893 901 1952 2853
2000 50 713 7419 8132 516 594 1110 614 1586 2200 898 1343 2241
2000 41 706 10260 10966 506 718 1224 602 1884 2486 887 1546 2433
2000 34 696 13768 14464 507 927 1434 594 2184 2778 872 1784 2656
