S   C   INIT_NEW   DYN_NEW   TOT_NEW   INIT_OLD   DYN_OLD   TOT_OLD
100 12 564 5 569 324 5 329
200 25 1266 17 1283 756 19 775
300 37 2280 58 2338 1369 39 1408
400 50 3302 110 3412 1961 71 2032
500 62 4751 182 4933 2525 122 2647
600 75 5951 251 6202 3496 192 3688
700 87 7155 356 7511 4206 262 4468
800 100 7934 455 8389 5052 363 5415
900 112 9650 577 10227 5781 447 6228
1000 125 10216 714 10930 5939 560 6499
1100 137 10029 864 10893 6654 695 7349
1200 150 10022 1024 11046 6604 822 7426
1300 162 11666 1202 12868 8412 978 9390
1400 175 13598 1358 14956 9474 1202 10676
1500 187 15134 1559 16693 10046 1294 11340
1600 200 15722 1762 17484 11009 1462 12471
1700 212 17701 2027 19728 12411 1666 14077
1800 225 18613 2209 20822 13161 1864 15025
1900 237 20895 2453 23348 15265 2111 17376
2000 250 22174 2831 25005 15536 2361 17897
