N   C   INIT_HC   DYN_HC   TOT_HC   INIT_LC   DYN_LC   TOT_LC   INIT_VLC   DYN_VLC   TOT_VLC   INIT_OLD   DYN_OLD   TOT_OLD
1000 500 12955 6646 19601 12946 13413 26359 13162 19879 33041 9857 16997 26854
1000 333 11867 6603 18470 11680 9057 20737 11669 13334 25003 8218 11138 19356
1000 200 11046 6651 17697 10693 5566 16259 10677 8118 18795 7014 8889 15903
1000 125 10175 6559 16734 10196 3613 13809 10161 5181 15342 6138 7161 13299
1000 76 9845 6526 16371 9819 2312 12131 9794 3245 13039 5565 4683 10248
1000 47 10084 6602 16686 9949 1475 11424 9561 2009 11570 5328 3270 8598
1000 29 9503 6703 16206 9458 939 10397 9418 1287 10705 5602 2595 8197
1000 18 9381 6509 15890 9667 661 10328 10381 873 11254 5206 1913 7119
