N   C   INIT_HC   DYN_HC   TOT_HC   INIT_LC   DYN_LC   TOT_LC   INIT_VLC   DYN_VLC   TOT_VLC   INIT_OLD   DYN_OLD   TOT_OLD
500 250 4923 79 5002 4920 65 4985 4906 252 5158 3768 264 4032
500 166 4760 78 4838 4637 44 4681 4618 165 4783 3304 173 3477
500 100 4398 78 4476 4385 24 4409 4367 100 4467 2976 103 3079
500 62 4254 78 4332 4257 18 4275 4217 63 4280 2740 60 2800
500 38 4166 79 4245 4207 13 4220 5056 41 5097 2571 36 2607
500 23 4157 78 4235 4110 10 4120 4112 26 4138 2555 22 2577
500 14 4104 78 4182 4091 8 4099 4089 17 4106 2367 20 2387
500 9 4088 85 4173 4086 7 4093 4076 13 4089 2422 12 2434
