100 34 95
200 110 396
300 342 1111
400 659 2016
500 1020 3127
600 1457 4581
700 2084 6305
800 2692 8241
900 3437 10505
1000 4209 13277
1100 5159 16418
1200 5936 19449
1300 6874 23073
1400 7986 27214
1500 9123 30828
1600 10177 35697
1700 11291 41720
1800 12546 46743
1900 14068 52247
2000 16195 58663
