S   C   INIT_NEW   DYN_NEW   TOT_NEW   INIT_OLD   DYN_OLD   TOT_OLD
100 10 578 5 583 324 4 328
200 20 1306 18 1324 760 15 775
300 30 2214 59 2273 1317 32 1349
400 40 3267 112 3379 1919 57 1976
500 50 4212 177 4389 2554 128 2682
600 60 6060 252 6312 3239 151 3390
700 70 7158 346 7504 3926 217 4143
800 80 7841 452 8293 4894 289 5183
900 90 9514 583 10097 5934 357 6291
1000 100 10340 720 11060 5865 462 6327
1100 110 9868 869 10737 5600 544 6144
1200 120 9848 1026 10874 7357 662 8019
1300 130 11138 1194 12332 7679 789 8468
1400 140 13307 1350 14657 8295 914 9209
1500 150 14112 1550 15662 9564 1114 10678
1600 160 15677 1757 17434 10079 1195 11274
1700 170 17338 1986 19324 10949 1357 12306
1800 180 18222 2211 20433 12262 1522 13784
1900 190 20352 2453 22805 13839 1700 15539
2000 200 20937 2712 23649 13489 1888 15377
